date,min_temp,max_temp,temp_entry_3,temp_entry_6,temp_entry_9,temp_entry_12,temp_entry_15,temp_entry_18,temp_entry_21,temp_entry_24,humidity_entry_3,humidity_entry_6,humidity_entry_9,humidity_entry_12,humidity_entry_15,humidity_entry_18,humidity_entry_21,humidity_entry_24,pressure_entry_3,pressure_entry_6,pressure_entry_9,pressure_entry_12,pressure_entry_15,pressure_entry_18,pressure_entry_21,pressure_entry_24,wind_entry_3,wind_entry_6,wind_entry_9,wind_entry_12,wind_entry_15,wind_entry_18,wind_entry_21,wind_entry_24,discomfort_entry_3,discomfort_entry_6,discomfort_entry_9,discomfort_entry_12,discomfort_entry_15,discomfort_entry_18,discomfort_entry_21,discomfort_entry_24,pecipitation_3,pecipitation_6,pecipitation_9,pecipitation_12,pecipitation_15,pecipitation_18,pecipitation_21,pecipitation_24
2023/01/05,2.7,10.6,4.1,3.6,6.3,9.6,8.9,6.5,4.7,3.1,41,42,35,26,27,30,40,48,1018.3,1019.1,1020.1,1018.0,1017.3,1019.1,1019.2,1019.1,4,2,4,4,4,4,3,2,40,40,42,45,44,42,41,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/04,1.3,11.0,3.3,1.6,6.1,9.8,9.3,6.9,4.0,4.3,59,65,43,34,34,40,49,46,1014.6,1015.0,1015.7,1013.9,1013.2,1015.7,1017.1,1017.5,2,3,3,4,3,4,2,4,42,40,44,47,47,44,42,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/03,0.5,11.0,3.2,1.2,6.1,10.6,9.4,6.3,5.3,4.2,49,54,37,30,29,41,45,55,1016.2,1016.0,1016.9,1014.7,1013.1,1014.1,1014.9,1014.7,3,1,2,1,2,2,2,3,41,38,43,47,46,43,43,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/02,2.0,12.1,3.8,2.6,6.3,10.6,9.8,7.0,4.8,4.3,71,75,56,37,33,35,45,47,1014.6,1016.0,1017.1,1015.0,1014.4,1016.0,1017.2,1016.7,1,1,2,4,2,2,2,3,43,42,46,49,47,44,41,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/01,0.9,13.0,3.4,1.6,6.4,11.0,11.0,7.7,6.8,5.8,71,78,60,40,47,62,73,61,1017.8,1018.3,1018.3,1015.6,1013.8,1013.7,1014.0,1013.5,1,1,1,2,3,3,2,3,43,41,46,50,51,47,47,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/31,3.1,10.5,3.4,3.9,6.1,7.7,9.3,5.4,4.9,3.8,61,59,54,49,48,68,74,73,1019.7,1020.5,1021.5,1019.5,1018.1,1018.4,1018.5,1018.2,2,2,2,2,1,2,1,2,42,42,45,46,49,45,44,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/30,2.8,11.8,4.6,3.9,5.7,9.4,10.6,7.0,5.9,4.1,58,60,57,43,38,51,46,57,1019.3,1019.8,1021.2,1019.2,1018.2,1019.2,1020.3,1019.9,3,2,2,2,3,2,2,2,43,42,44,48,49,46,43,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/29,2.9,13.7,5.2,5.2,8.4,13.3,12.0,10.5,7.7,5.7,72,63,50,36,36,35,43,48,1015.6,1015.5,1015.9,1014.3,1013.9,1015.9,1017.0,1018.4,2,2,4,3,2,3,3,3,45,45,48,52,51,48,45,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/28,2.8,11.9,3.7,3.9,5.3,9.5,11.0,8.1,6.0,4.9,68,64,61,46,51,55,63,72,1021.2,1021.2,1022.0,1018.6,1016.3,1016.5,1016.1,1015.5,1,2,3,2,2,2,2,2,43,42,45,49,52,48,46,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/27,2.0,12.3,3.2,3.0,6.8,11.6,11.2,8.1,5.9,4.8,57,57,45,34,34,42,53,62,1015.1,1016.3,1017.9,1016.8,1017.4,1019.8,1020.9,1020.7,2,2,4,5,4,3,3,2,41,41,44,50,49,46,44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/26,1.8,11.4,4.3,2.1,6.9,10.7,9.7,7.4,5.3,3.9,54,63,47,34,30,42,53,54,1005.5,1007.9,1010.0,1009.1,1009.6,1011.9,1013.5,1014.3,2,2,4,4,6,5,5,2,42,41,45,48,46,45,44,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/25,1.8,13.1,3.8,2.0,6.7,12.5,11.3,8.5,5.9,5.5,63,73,54,28,29,38,50,50,1001.4,1002.0,1003.4,1001.7,1001.1,1002.8,1004.3,1004.8,3,1,3,5,6,3,5,4,42,42,46,50,48,46,44,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/24,-0.1,11.5,1.8,2.3,6.4,10.2,10.5,8.1,6.9,4.0,33,39,41,35,39,49,52,71,993.2,991.9,994.3,994.5,995.3,997.7,999.8,1000.8,3,4,4,4,4,4,3,3,36,38,44,48,49,47,45,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/23,4.4,8.4,5.8,5.6,5.8,7.8,6.6,4.5,3.0,2.5,45,36,26,20,17,23,29,31,990.1,990.4,992.7,991.8,991.3,993.3,993.7,992.9,3,6,6,4,7,4,4,5,43,41,39,41,38,38,37,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/22,4.1,10.7,6.3,4.3,4.8,7.2,10.4,9.3,8.0,7.1,59,97,98,98,90,96,86,40,1004.0,999.5,993.7,988.3,985.9,984.6,988.3,990.1,2,3,4,2,2,4,3,4,46,46,46,50,54,53,51,45,0.0,0.0,0.0,0.0,6.0,10.0,6.0,0.0
2022/12/21,2.8,9.9,4.6,2.9,5.5,8.2,9.5,7.5,7.8,6.4,56,68,58,49,53,69,62,73,1017.6,1017.2,1017.6,1014.9,1013.3,1012.6,1011.0,1008.1,2,2,1,1,2,2,2,1,43,42,44,48,49,48,48,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/20,0.8,10.9,2.9,1.8,5.5,9.1,9.5,6.6,5.9,3.7,45,54,48,32,35,47,58,61,1016.1,1017.5,1019.9,1017.9,1017.4,1018.7,1019.0,1018.6,2,2,2,1,1,3,3,2,39,39,43,46,47,45,45,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/19,0.0,10.1,1.6,0.7,5.2,9.0,8.6,6.1,5.3,2.9,47,49,37,25,25,43,33,46,1010.1,1011.1,1012.5,1010.6,1010.5,1012.7,1014.1,1014.8,2,3,3,2,1,1,2,2,38,37,41,44,43,44,41,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/18,4.5,11.3,5.9,5.7,6.3,10.1,9.2,5.8,4.5,3.4,99,99,68,51,25,27,30,34,1000.4,1000.7,1001.8,1000.3,1001.3,1004.8,1007.5,1008.9,3,2,3,2,3,4,4,3,48,48,46,50,45,40,39,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022/12/17,5.6,10.1,6.4,6.4,6.8,8.4,7.4,7.0,5.3,4.8,52,55,55,55,63,64,86,99,1017.8,1018.4,1016.6,1013.0,1010.8,1009.0,1006.6,1003.1,2,2,2,2,1,3,2,1,45,45,46,48,47,47,47,46,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/16,2.3,14.1,4.2,2.9,8.4,12.5,12.9,10.5,7.9,7.1,59,67,60,44,32,42,47,51,1012.8,1013.1,1014.1,1012.7,1014.0,1016.7,1018.4,1018.4,1,1,1,3,1,2,3,2,43,42,49,52,51,50,46,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/15,3.0,12.4,4.4,4.2,6.5,11.4,10.5,6.6,8.0,5.2,47,50,43,38,38,63,43,54,1011.1,1012.0,1012.7,1010.1,1009.9,1011.8,1013.5,1013.6,4,3,4,2,1,2,2,2,42,42,44,50,49,46,47,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/14,6.1,15.4,8.3,7.5,11.7,12.6,11.5,8.8,6.6,4.9,78,63,52,57,38,35,37,43,1003.0,1002.5,1002.8,1002.4,1003.8,1008.0,1010.1,1011.3,3,4,3,2,4,5,3,3,50,47,52,54,50,46,43,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/13,5.3,10.1,6.5,5.5,5.5,8.9,9.9,7.2,7.4,7.2,71,87,97,77,86,96,98,99,1015.8,1014.3,1012.0,1008.1,1004.8,1005.2,1004.8,1004.6,2,3,1,3,2,1,1,2,47,47,48,51,53,50,51,51,0.0,0.0,0.0,0.5,0.0,4.5,0.0,0.0
2022/12/12,5.8,11.8,7.2,6.3,8.4,10.8,10.6,8.0,7.1,7.2,67,66,57,41,42,59,68,71,1014.6,1016.3,1018.9,1017.5,1017.2,1019.4,1019.0,1016.6,2,3,3,4,2,1,2,2,48,46,48,50,50,48,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2022/12/11,6.4,15.2,6.8,6.7,9.7,13.3,12.0,9.9,9.2,7.7,84,81,69,64,74,70,62,75,1009.1,1008.1,1008.4,1007.8,1008.4,1011.1,1013.0,1013.7,2,1,2,2,5,3,3,1,48,48,51,56,55,51,50,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/10,5.0,15.8,7.0,5.6,9.2,13.8,14.4,11.6,11.2,9.3,73,82,70,41,43,57,76,74,1015.3,1015.0,1016.1,1013.2,1011.5,1013.2,1012.6,1011.1,2,2,2,2,2,2,2,3,48,46,51,53,55,53,54,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/09,5.0,13.8,7.2,5.8,9.5,12.5,12.7,9.9,10.0,8.1,66,71,58,48,58,80,76,76,1018.2,1018.9,1020.2,1017.6,1016.2,1016.5,1016.2,1015.9,2,2,2,2,3,1,2,3,48,46,50,52,54,52,53,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/08,4.3,14.9,5.1,5.0,10.4,14.1,14.1,9.6,8.9,7.5,85,83,55,38,35,55,61,63,1012.8,1013.8,1014.9,1013.5,1014.0,1016.0,1017.1,1017.8,1,2,2,2,2,2,2,2,46,46,51,54,53,50,49,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/07,3.6,14.2,4.6,4.1,9.4,13.1,12.9,9.3,8.6,6.8,100,96,64,46,42,60,70,76,1011.2,1012.9,1014.4,1012.9,1012.1,1012.7,1013.1,1013.0,2,2,2,2,2,2,2,2,46,46,50,53,52,50,50,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/06,4.1,8.6,4.6,4.5,5.3,6.8,8.2,7.7,6.5,6.1,98,98,98,94,86,90,93,98,1014.3,1013.8,1014.0,1011.6,1009.7,1010.8,1010.4,1010.4,3,3,3,2,2,1,3,2,46,46,48,49,51,50,49,49,0.0,0.0,0.0,0.0,0.5,0.0,2.0,6.0
2022/12/05,7.1,10.3,9.9,8.6,7.6,8.4,7.2,5.8,5.3,5.5,64,65,77,71,80,94,97,98,1016.9,1017.6,1018.9,1016.8,1015.7,1016.4,1016.5,1015.5,2,2,2,3,2,2,2,3,51,49,49,50,49,47,47,48,9.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/04,4.9,15.9,5.6,5.8,8.7,15.0,14.4,13.3,11.7,9.8,91,90,65,41,56,47,55,62,1015.3,1014.1,1014.7,1013.0,1012.4,1015.3,1016.4,1016.5,1,2,1,2,1,4,4,2,47,47,49,55,56,54,53,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/03,5.4,11.7,5.6,6.0,7.4,9.9,11.0,7.8,7.6,7.6,64,64,60,56,62,75,77,81,1024.0,1024.5,1024.9,1021.6,1018.2,1018.1,1017.8,1015.7,2,2,3,2,2,1,1,2,45,46,47,50,53,49,49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/02,7.9,13.3,8.3,9.4,8.7,12.7,11.8,9.9,7.7,6.7,77,55,62,46,55,58,53,58,1014.1,1015.0,1016.9,1017.1,1018.4,1021.4,1023.9,1024.1,2,2,2,3,3,3,4,3,50,49,49,52,53,50,47,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/01,10.5,13.6,12.3,11.9,10.5,10.0,9.3,8.6,9.3,8.6,52,60,70,72,80,88,86,84,1013.5,1014.2,1015.5,1014.6,1013.8,1014.9,1015.1,1014.4,2,2,4,3,2,1,2,2,53,53,53,53,52,51,53,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/30,15.6,20.6,16.0,15.7,16.6,18.5,18.3,17.6,14.5,13.5,100,100,98,76,73,85,49,48,1003.0,1004.1,1005.7,1004.6,1005.1,1008.0,1010.1,1012.1,1,2,2,1,1,2,3,3,64,62,64,65,64,64,55,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
2022/11/29,11.6,21.3,11.9,12.6,14.4,20.5,19.1,18.2,18.9,20.3,80,80,72,68,85,98,97,95,1019.8,1017.8,1016.7,1013.0,1009.9,1008.2,1006.1,1003.8,1,2,1,5,3,6,5,7,55,56,58,66,67,66,67,69,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022/11/28,8.4,14.3,9.4,9.2,10.5,12.6,13.7,13.0,13.2,13.0,64,61,61,58,63,69,71,75,1022.8,1024.8,1025.5,1023.9,1023.8,1023.8,1023.4,1022.0,3,2,2,2,2,2,2,1,50,50,52,54,56,56,57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/27,11.1,19.2,12.0,12.4,15.4,18.0,17.6,15.1,13.9,11.7,77,62,48,36,35,50,54,59,1008.2,1010.2,1012.6,1013.1,1014.6,1018.0,1021.0,1022.2,3,2,5,3,4,3,4,2,56,54,57,59,58,57,55,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/26,10.5,16.6,11.6,11.1,11.9,14.2,15.9,13.0,12.8,11.4,78,78,76,76,84,84,77,84,1016.4,1015.3,1014.7,1011.0,1008.6,1008.3,1008.0,1007.6,3,2,2,1,2,2,2,2,54,54,54,59,61,58,56,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/25,10.5,17.8,10.9,12.4,14.1,16.8,16.0,14.5,12.9,13.0,87,64,61,45,47,65,77,80,1015.5,1017.6,1019.2,1018.1,1017.6,1018.9,1018.6,1018.2,2,3,2,2,3,6,3,2,54,54,57,58,58,58,56,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/24,9.5,20.9,11.0,10.4,16.2,19.8,18.6,17.3,15.1,14.1,97,100,64,47,49,48,57,60,1001.9,1003.1,1006.1,1006.2,1007.9,1011.4,1013.1,1014.5,3,3,4,5,2,2,2,2,56,55,60,63,61,60,58,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2022/11/23,11.6,15.3,14.2,12.0,11.7,10.8,10.8,10.7,11.0,11.6,69,97,99,98,100,99,99,95,1017.4,1017.3,1017.8,1014.8,1011.6,1008.7,1004.5,1002.0,2,3,3,2,3,2,5,3,58,57,56,55,55,55,56,56,0.0,11.0,6.0,10.0,6.0,4.0,1.0,0.0
2022/11/22,10.1,20.4,11.3,10.3,14.2,19.9,18.8,17.7,16.7,15.2,99,100,83,52,54,64,61,66,1015.0,1015.4,1017.0,1015.5,1015.9,1016.8,1018.0,1018.0,2,2,1,3,3,3,3,3,56,55,59,63,62,62,60,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/21,10.8,17.8,11.1,11.8,12.1,15.4,16.9,14.0,13.5,12.5,99,95,97,82,79,96,99,100,1015.9,1015.9,1016.5,1013.7,1012.8,1013.7,1014.5,1014.9,2,3,2,3,3,2,2,2,56,56,57,61,62,60,59,58,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0
2022/11/20,10.3,13.7,11.3,10.9,12.0,13.3,13.3,11.1,10.9,11.0,71,72,70,65,72,96,97,98,1021.8,1022.8,1023.1,1021.2,1019.8,1020.0,1019.7,1017.7,3,2,3,3,2,4,4,2,54,53,55,56,57,56,55,56,2.0,2.0,4.5,0.0,0.0,0.0,0.0,0.0
2022/11/19,8.9,18.5,10.2,10.4,14.4,17.7,16.8,14.9,13.4,12.7,83,70,54,42,47,54,61,68,1019.8,1020.7,1022.0,1020.6,1019.9,1021.6,1021.8,1022.3,3,2,3,1,2,3,2,2,54,53,56,59,58,56,56,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/18,9.2,17.9,10.3,9.8,13.3,16.7,16.4,14.6,13.4,11.0,75,72,60,55,53,67,79,83,1022.2,1023.3,1023.8,1022.0,1020.9,1021.2,1021.2,1020.3,2,1,2,2,2,3,1,2,53,52,55,59,59,58,57,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/17,7.7,17.7,9.6,8.8,12.2,16.8,15.5,14.2,13.6,12.5,65,68,55,40,46,61,61,71,1017.0,1018.4,1020.2,1018.8,1018.5,1020.5,1021.4,1021.6,2,2,2,2,2,2,2,2,51,50,53,57,57,57,56,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/16,8.3,17.3,8.9,8.7,12.8,16.6,16.1,14.0,13.9,11.0,100,92,57,38,42,52,57,63,1006.2,1008.9,1011.7,1010.6,1011.4,1013.6,1015.4,1015.9,1,4,3,4,2,2,3,2,52,52,54,57,57,56,55,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/15,9.9,14.4,11.8,10.0,10.2,11.9,13.0,11.3,9.7,9.6,92,98,96,95,89,92,96,98,1008.8,1009.2,1009.5,1007.0,1006.4,1007.4,1007.2,1006.5,2,2,2,4,2,2,2,2,56,55,55,56,58,56,54,54,0.0,0.0,0.0,0.0,0.5,5.0,1.0,0.5
2022/11/14,14.6,18.8,16.9,15.2,15.5,17.8,17.0,15.1,14.8,14.3,52,53,48,40,45,57,59,62,1002.5,1005.7,1008.9,1008.3,1008.4,1010.2,1010.8,1009.7,5,3,4,2,3,5,3,2,59,57,57,59,59,58,57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/13,13.0,24.1,13.8,13.4,19.8,23.4,20.9,19.4,16.6,16.2,93,94,80,58,74,89,90,82,1015.3,1013.6,1011.8,1006.8,1004.0,1002.8,1002.1,1001.2,1,1,3,5,6,4,3,3,59,59,67,69,67,67,63,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/12,13.1,21.8,13.8,13.5,17.1,20.7,20.5,16.7,15.9,15.0,84,79,69,60,63,81,86,88,1024.2,1023.7,1023.6,1021.0,1019.1,1019.1,1018.5,1017.3,2,1,3,2,2,2,2,3,58,58,62,65,66,62,61,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/11,10.4,21.6,13.1,11.2,15.9,20.6,20.0,17.6,16.4,15.1,66,75,59,44,49,72,85,87,1020.8,1022.8,1024.3,1023.0,1022.9,1024.4,1025.1,1024.9,3,2,2,2,3,3,2,2,56,54,58,63,64,63,62,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/10,9.9,21.8,11.4,10.7,14.9,19.6,19.6,16.2,15.2,13.9,72,76,61,57,43,65,65,70,1021.9,1021.7,1021.7,1018.7,1017.5,1018.8,1020.1,1020.1,2,2,1,3,2,2,3,2,54,53,57,64,62,60,59,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/09,10.4,19.2,13.2,11.2,14.9,18.1,17.3,15.9,15.2,12.9,53,63,51,40,50,67,66,70,1020.8,1022.4,1023.9,1022.2,1021.3,1022.2,1022.8,1022.2,3,2,2,2,3,4,2,4,54,53,56,60,60,59,59,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/08,11.0,22.2,14.1,11.5,15.3,20.4,20.1,17.6,13.6,13.9,72,82,60,37,40,39,59,53,1014.7,1015.1,1015.9,1014.2,1014.4,1017.3,1018.9,1019.4,2,2,2,2,2,3,2,2,58,55,58,62,63,58,55,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/07,9.6,18.2,10.9,10.2,13.7,16.5,17.1,14.4,12.7,14.4,75,72,60,55,60,76,86,79,1020.5,1020.9,1021.6,1019.1,1017.2,1017.2,1016.7,1015.8,3,2,2,1,2,2,1,3,53,53,56,59,61,59,57,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/06,10.0,18.4,10.8,10.2,13.5,17.1,16.8,15.6,13.8,11.8,68,67,54,49,52,62,59,70,1017.8,1018.7,1020.2,1018.9,1018.2,1019.7,1020.9,1020.6,2,2,4,2,2,3,2,2,53,52,55,60,59,59,55,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/05,11.7,17.3,13.0,12.9,14.2,15.8,16.6,13.8,13.4,12.5,56,51,53,45,50,64,62,67,1013.7,1015.2,1017.1,1015.4,1014.9,1016.2,1017.1,1017.1,2,3,3,2,3,1,1,3,55,53,56,56,59,56,56,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/04,11.9,21.0,13.7,12.5,18.0,19.6,17.9,16.4,12.8,12.2,91,87,59,64,67,66,70,73,1006.1,1006.6,1008.0,1006.9,1008.0,1010.8,1013.5,1013.5,1,2,3,3,4,5,3,2,59,57,62,65,62,61,55,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/03,12.8,24.3,14.0,12.9,16.9,22.1,23.1,20.0,18.0,14.3,90,95,73,57,36,57,66,88,1013.1,1012.4,1012.9,1009.7,1007.5,1007.6,1007.9,1007.2,2,2,1,3,4,4,3,1,60,58,62,68,66,65,63,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/02,11.6,22.8,13.2,12.5,16.5,21.4,21.2,17.0,17.2,15.3,86,88,68,50,52,71,70,86,1015.3,1015.3,1016.3,1014.2,1013.3,1014.0,1014.4,1013.7,2,2,2,3,4,2,2,1,58,57,61,65,66,62,62,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/01,12.1,17.6,12.6,12.7,14.3,16.6,17.1,16.3,14.7,13.9,71,70,66,60,66,61,77,84,1022.5,1022.3,1022.3,1019.7,1017.9,1018.0,1017.2,1015.9,2,3,2,2,2,3,2,1,55,55,58,60,62,60,59,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/31,10.3,20.1,10.6,11.3,14.9,18.5,18.2,16.1,13.9,13.0,79,67,54,41,47,60,73,75,1021.0,1022.1,1023.2,1021.8,1021.1,1023.2,1023.8,1023.4,2,2,2,3,3,3,2,2,54,54,56,60,61,60,57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/30,10.2,19.2,12.6,11.5,14.9,17.4,17.7,12.5,12.5,11.7,61,66,52,41,39,69,63,73,1018.6,1019.6,1020.2,1018.8,1018.2,1019.1,1020.4,1020.8,2,2,2,1,2,1,1,3,54,54,56,59,58,55,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
